Order ID,Order Date,Segment,State,Region,Category,Sales,Quantity,Discount,Profit
CA-2018-1000,2018-10-15,Home Office,Indiana,Central,Furniture,709.61,2,0.5,-248.36
CA-2018-1001,2018-01-27,Home Office,California,West,Furniture,488.1,2,0,24.41
CA-2017-1002,2017-07-24,Home Office,North Carolina,South,Technology,923.52,4,0.3,-18.47
CA-2017-1003,2017-08-05,Home Office,Oregon,West,Technology,727.7,2,0.2,43.66
CA-2015-1004,2015-07-19,Consumer,Wisconsin,Central,Technology,910.68,6,0.5,-163.92
CA-2018-1005,2018-09-09,Consumer,Tennessee,South,Technology,1744.17,9,0.7,-593.02
CA-2015-1006,2015-12-17,Home Office,Alabama,South,Office Supplies,468.9,1,0,84.4
CA-2016-1007,2016-02-21,Home Office,Arizona,West,Technology,811.92,7,0.7,-276.05
CA-2017-1008,2017-09-26,Home Office,Tennessee,South,Technology,971.05,9,0.5,-174.79
CA-2015-1009,2015-01-05,Corporate,Tennessee,South,Technology,798.75,4,0.2,47.92
CA-2018-1010,2018-08-17,Home Office,Tennessee,South,Technology,3546.14,6,0.2,212.77
CA-2018-1011,2018-12-23,Home Office,Florida,South,Office Supplies,1334.95,5,0,240.29
CA-2015-1012,2015-11-09,Corporate,Illinois,Central,Technology,1421.91,7,0.7,-483.45
CA-2015-1013,2015-01-15,Consumer,Illinois,Central,Office Supplies,939.12,7,0,169.04
CA-2017-1014,2017-11-25,Home Office,Washington,West,Technology,456.96,4,0,100.53
CA-2016-1015,2016-09-08,Consumer,Texas,Central,Technology,969.07,6,0.7,-329.48
CA-2016-1016,2016-10-10,Home Office,New Jersey,East,Office Supplies,429.3,5,0,77.27
CA-2015-1017,2015-02-13,Corporate,Georgia,South,Technology,2922.26,9,0.5,-526.01
CA-2015-1018,2015-09-16,Corporate,Colorado,West,Furniture,4493.64,6,0,224.68
CA-2016-1019,2016-03-19,Corporate,Michigan,Central,Office Supplies,244.86,2,0.7,-93.05
CA-2015-1020,2015-09-13,Corporate,New Jersey,East,Technology,2040.55,6,0.1,285.68
CA-2018-1021,2018-11-07,Home Office,Pennsylvania,East,Furniture,525.62,1,0,26.28
CA-2016-1022,2016-11-28,Consumer,Colorado,West,Office Supplies,1715.4,9,0,308.77
CA-2018-1023,2018-05-06,Corporate,Tennessee,South,Furniture,3086.91,9,0,154.35
CA-2017-1024,2017-08-06,Corporate,Virginia,East,Office Supplies,3197.64,8,0.5,-703.48
CA-2015-1025,2015-04-08,Corporate,Florida,South,Office Supplies,4617.72,9,0.2,92.35
CA-2015-1026,2015-06-28,Corporate,Colorado,West,Furniture,2029.44,6,0,101.47
CA-2015-1027,2015-10-23,Home Office,Wisconsin,Central,Furniture,5738.49,10,0.1,-172.15
CA-2015-1028,2015-05-04,Home Office,Massachusetts,East,Office Supplies,2291.2,10,0,412.42
CA-2015-1029,2015-09-11,Consumer,New York,East,Office Supplies,3500.64,6,0,630.12
CA-2015-1030,2015-07-28,Corporate,Oregon,West,Office Supplies,670.41,3,0,120.67
CA-2015-1031,2015-02-22,Consumer,Florida,South,Office Supplies,325.57,2,0.2,6.51
CA-2018-1032,2018-06-20,Corporate,Ohio,Central,Technology,5080.7,10,0,1117.75
CA-2018-1033,2018-05-27,Corporate,Florida,South,Furniture,3320.69,6,0.2,-365.28
CA-2017-1034,2017-05-24,Home Office,Colorado,West,Office Supplies,3948.95,7,0.2,78.98
CA-2016-1035,2016-09-02,Corporate,Michigan,Central,Furniture,5070.17,10,0.3,-963.33
CA-2017-1036,2017-10-21,Consumer,Arizona,West,Technology,224.52,2,0,49.39
CA-2018-1037,2018-07-08,Consumer,Ohio,Central,Technology,592.55,10,0.5,-106.66
CA-2017-1038,2017-03-08,Consumer,Pennsylvania,East,Office Supplies,189.77,9,0.5,-41.75
CA-2016-1039,2016-11-19,Corporate,Arizona,West,Furniture,1937.32,8,0.3,-368.09
CA-2017-1040,2017-01-22,Home Office,New York,East,Furniture,4154.79,9,0.3,-789.41
CA-2018-1041,2018-12-12,Corporate,New York,East,Furniture,2198.92,4,0,109.95
CA-2018-1042,2018-11-19,Corporate,Illinois,Central,Furniture,540.18,6,0.7,-275.49
CA-2017-1043,2017-09-23,Consumer,Virginia,East,Office Supplies,1194.57,3,0,215.02
CA-2016-1044,2016-12-24,Home Office,Washington,West,Office Supplies,405.2,2,0.2,8.1
CA-2018-1045,2018-07-18,Home Office,Washington,West,Furniture,2592.3,10,0,129.62
CA-2017-1046,2017-09-09,Home Office,New York,East,Technology,130.68,2,0.5,-23.52
CA-2017-1047,2017-09-10,Home Office,Arizona,West,Office Supplies,468.86,4,0.2,9.38
CA-2018-1048,2018-06-26,Corporate,Pennsylvania,East,Office Supplies,204.27,1,0.7,-77.62
CA-2016-1049,2016-01-04,Home Office,New Jersey,East,Technology,160.11,1,0,35.22
CA-2016-1050,2016-03-04,Corporate,California,West,Technology,1536.42,6,0,338.01
CA-2015-1051,2015-06-16,Consumer,Florida,South,Office Supplies,1258.94,7,0.2,25.18
CA-2017-1052,2017-02-03,Home Office,Arizona,West,Office Supplies,799.61,4,0.7,-303.85
CA-2017-1053,2017-06-24,Corporate,North Carolina,South,Furniture,302.62,4,0.5,-105.92
CA-2016-1054,2016-12-12,Corporate,North Carolina,South,Technology,155.93,3,0.7,-53.02
CA-2018-1055,2018-05-11,Home Office,Tennessee,South,Office Supplies,561.68,4,0,101.1
CA-2016-1056,2016-06-05,Corporate,Ohio,Central,Furniture,533.52,5,0.2,-58.69
CA-2018-1057,2018-01-18,Corporate,Oregon,West,Technology,1886.45,10,0.5,-339.56
CA-2016-1058,2016-07-12,Home Office,Ohio,Central,Technology,169.38,6,0.7,-57.59
CA-2016-1059,2016-06-19,Consumer,Ohio,Central,Technology,67.68,3,0.2,4.06
CA-2015-1060,2015-11-28,Corporate,Tennessee,South,Technology,157.52,6,0.1,22.05
CA-2015-1061,2015-09-23,Consumer,Illinois,Central,Office Supplies,2361.24,8,0.3,-141.67
CA-2016-1062,2016-10-22,Consumer,Washington,West,Furniture,1401.12,6,0.7,-714.57
CA-2015-1063,2015-01-09,Consumer,Indiana,Central,Furniture,4026.61,7,0,201.33
CA-2017-1064,2017-06-12,Consumer,Arizona,West,Office Supplies,2135.78,9,0.7,-811.6
CA-2018-1065,2018-03-01,Corporate,Tennessee,South,Office Supplies,4046.34,6,0,728.34
CA-2017-1066,2017-04-19,Corporate,Ohio,Central,Office Supplies,613.36,4,0.5,-134.94
CA-2018-1067,2018-10-03,Consumer,Alabama,South,Furniture,4444.99,9,0.2,-488.95
CA-2016-1068,2016-05-28,Corporate,Michigan,Central,Technology,1805.16,6,0,397.14
CA-2018-1069,2018-04-07,Home Office,Florida,South,Technology,7840.5,10,0,1724.91
CA-2016-1070,2016-09-22,Home Office,Pennsylvania,East,Office Supplies,937.67,5,0.7,-356.31
CA-2016-1071,2016-10-18,Home Office,Ohio,Central,Office Supplies,4049.03,9,0.1,404.9
CA-2015-1072,2015-05-26,Home Office,Pennsylvania,East,Technology,1925.73,3,0,423.66
CA-2018-1073,2018-03-06,Consumer,Massachusetts,East,Office Supplies,5044.5,9,0,908.01
CA-2015-1074,2015-05-08,Consumer,Colorado,West,Technology,308.57,3,0.7,-104.91
CA-2016-1075,2016-06-05,Home Office,Texas,Central,Technology,2202.84,8,0.5,-396.51
CA-2017-1076,2017-01-06,Corporate,California,West,Technology,75.06,1,0.2,4.5
CA-2016-1077,2016-04-22,Consumer,Virginia,East,Technology,1228.92,7,0,270.36
CA-2018-1078,2018-08-28,Corporate,Pennsylvania,East,Office Supplies,3571.42,9,0.5,-785.71
CA-2016-1079,2016-12-07,Corporate,Virginia,East,Office Supplies,4438.35,9,0,798.9
CA-2016-1080,2016-04-21,Corporate,Colorado,West,Furniture,5565.7,10,0,278.29
CA-2017-1081,2017-12-12,Corporate,New York,East,Office Supplies,5597.14,9,0.2,111.94
CA-2018-1082,2018-03-04,Corporate,Arizona,West,Office Supplies,3985.24,8,0.3,-239.11
CA-2017-1083,2017-05-22,Corporate,Virginia,East,Furniture,3462.62,7,0,173.13
CA-2017-1084,2017-05-02,Corporate,North Carolina,South,Furniture,5978.16,9,0,298.91
CA-2018-1085,2018-10-16,Consumer,Arizona,West,Furniture,1840.84,8,0.5,-644.29
CA-2015-1086,2015-03-18,Consumer,Oregon,West,Technology,61.11,3,0.5,-11.0
CA-2017-1087,2017-12-05,Consumer,Colorado,West,Office Supplies,1214.02,2,0,218.52
CA-2016-1088,2016-09-28,Consumer,North Carolina,South,Office Supplies,2234.2,8,0.5,-491.52
CA-2016-1089,2016-02-19,Consumer,Tennessee,South,Office Supplies,581.57,4,0.7,-221.0
CA-2018-1090,2018-12-02,Corporate,Alabama,South,Office Supplies,368.26,1,0.1,36.83
CA-2017-1091,2017-07-28,Consumer,North Carolina,South,Technology,1935.53,4,0.3,-38.71
CA-2017-1092,2017-04-19,Corporate,Arizona,West,Technology,1347.84,9,0,296.52
